state_id,state,name,href,full_url,stop_type
1,Alabama,DIAMOND GASOLINE #5,location_details.php?id=10112,https://www.truckstopsandservices.com/location_details.php?id=10112,Trucker
1,Alabama,DNJ TRUCK STOP,location_details.php?id=54214,https://www.truckstopsandservices.com/location_details.php?id=54214,Trucker
1,Alabama,DODGE CITY SHELL,location_details.php?id=44738,https://www.truckstopsandservices.com/location_details.php?id=44738,Trucker
1,Alabama,DUNN'S FOOD MART,location_details.php?id=10121,https://www.truckstopsandservices.com/location_details.php?id=10121,Trucker
1,Alabama,DURANGO'S BP,location_details.php?id=413,https://www.truckstopsandservices.com/location_details.php?id=413,Trucker
1,Alabama,DURANGO'S BP,location_details.php?id=10185,https://www.truckstopsandservices.com/location_details.php?id=10185,Trucker
1,Alabama,ELBA TRAVEL CENTER,location_details.php?id=44745,https://www.truckstopsandservices.com/location_details.php?id=44745,Trucker
1,Alabama,EXPRESS MART,location_details.php?id=18446,https://www.truckstopsandservices.com/location_details.php?id=18446,Trucker
1,Alabama,FACKLER TEXACO TRUCK STOP,location_details.php?id=10127,https://www.truckstopsandservices.com/location_details.php?id=10127,Trucker
1,Alabama,FAST TRACK,location_details.php?id=47849,https://www.truckstopsandservices.com/location_details.php?id=47849,Trucker
1,Alabama,FINNWAY EXPRESS #506,location_details.php?id=10166,https://www.truckstopsandservices.com/location_details.php?id=10166,Trucker
1,Alabama,FLYING J TRAVEL CENTER #601,location_details.php?id=1103,https://www.truckstopsandservices.com/location_details.php?id=1103,Trucker
1,Alabama,FLYING J TRAVEL CENTER #602,location_details.php?id=1104,https://www.truckstopsandservices.com/location_details.php?id=1104,Trucker
1,Alabama,FLYING J TRAVEL CENTER #603,location_details.php?id=16737,https://www.truckstopsandservices.com/location_details.php?id=16737,Trucker
1,Alabama,FLYING J TRAVEL CENTER #604,location_details.php?id=16742,https://www.truckstopsandservices.com/location_details.php?id=16742,Trucker
1,Alabama,FOWLER OIL,location_details.php?id=10117,https://www.truckstopsandservices.com/location_details.php?id=10117,Trucker
1,Alabama,FREEDOM FUEL TRUCK STOP,location_details.php?id=10173,https://www.truckstopsandservices.com/location_details.php?id=10173,Trucker
1,Alabama,FREESTATE CHEVRON,location_details.php?id=44743,https://www.truckstopsandservices.com/location_details.php?id=44743,Trucker
1,Alabama,FUEL EXPRESS,location_details.php?id=10128,https://www.truckstopsandservices.com/location_details.php?id=10128,Trucker
1,Alabama,GITTY UP-N-GO #2,location_details.php?id=54357,https://www.truckstopsandservices.com/location_details.php?id=54357,Trucker
1,Alabama,GITTY UP-N-GO #4,location_details.php?id=47714,https://www.truckstopsandservices.com/location_details.php?id=47714,Trucker
1,Alabama,GOCO'S #1,location_details.php?id=10082,https://www.truckstopsandservices.com/location_details.php?id=10082,Trucker
1,Alabama,GOCO'S #203,location_details.php?id=54362,https://www.truckstopsandservices.com/location_details.php?id=54362,Trucker
1,Alabama,GOCO'S #6,location_details.php?id=10151,https://www.truckstopsandservices.com/location_details.php?id=10151,Trucker
