State,Highway,Exit_Link
"Alabama","I-10","https://www.iexitapp.com/exits/Alabama/I-10/East/648"
"Alabama","I-20","https://www.iexitapp.com/exits/Alabama/I-20/East/667"
"Alabama","I-22","https://www.iexitapp.com/exits/Alabama/I-22/East/101"
"Alabama","I-59","https://www.iexitapp.com/exits/Alabama/I-59/North/662"
"Alabama","I-65","https://www.iexitapp.com/exits/Alabama/I-65/North/656"
"Alabama","I-85","https://www.iexitapp.com/exits/Alabama/I-85/North/715"
"Alabama","I-359","https://www.iexitapp.com/exits/Alabama/I-359/North/329"
"Alabama","I-459","https://www.iexitapp.com/exits/Alabama/I-459/North/552"
"Alabama","I-759","https://www.iexitapp.com/exits/Alabama/I-759/East/331"
"Alabama","I-165","https://www.iexitapp.com/exits/Alabama/I-165/North/337"
"Alabama","I-565","https://www.iexitapp.com/exits/Alabama/I-565/East/341"
"Alaska","No exits found",""
"Arizona","I-10","https://www.iexitapp.com/exits/Arizona/I-10/East/643"
"Arizona","I-15","https://www.iexitapp.com/exits/Arizona/I-15/North/89"
"Arizona","I-40","https://www.iexitapp.com/exits/Arizona/I-40/East/671"
"Arizona","I-8","https://www.iexitapp.com/exits/Arizona/I-8/East/143"
"Arizona","I-17","https://www.iexitapp.com/exits/Arizona/I-17/North/146"
"Arizona","I-19","https://www.iexitapp.com/exits/Arizona/I-19/North/147"
"Arizona","AZ 101","https://www.iexitapp.com/exits/Arizona/AZ%20101/East/495"
"Arizona","AZ 51","https://www.iexitapp.com/exits/Arizona/AZ%2051/North/496"
"Arkansas","I-40","https://www.iexitapp.com/exits/Arkansas/I-40/East/675"
"Arkansas","I-55","https://www.iexitapp.com/exits/Arkansas/I-55/North/116"
"Arkansas","I-30","https://www.iexitapp.com/exits/Arkansas/I-30/East/161"
"Arkansas","I-430","https://www.iexitapp.com/exits/Arkansas/I-430/North/293"
"Arkansas","I-530","https://www.iexitapp.com/exits/Arkansas/I-530/East/294"
"Arkansas","I-630","https://www.iexitapp.com/exits/Arkansas/I-630/East/295"
"Arkansas","I-440","https://www.iexitapp.com/exits/Arkansas/I-440/East/313"
"Arkansas","I-540","https://www.iexitapp.com/exits/Arkansas/I-540/East/316"
"Arkansas","I-49","https://www.iexitapp.com/exits/Arkansas/I-49/North/726"
"Arkansas","I-49","https://www.iexitapp.com/exits/Arkansas/I-49/North/732"
"California","I-10","https://www.iexitapp.com/exits/California/I-10/East/642"
"California","US 101","https://www.iexitapp.com/exits/California/US%20101/North/654"
"California","I-15","https://www.iexitapp.com/exits/California/I-15/North/87"
"California","I-40","https://www.iexitapp.com/exits/California/I-40/East/670"
"California","I-80","https://www.iexitapp.com/exits/California/I-80/East/127"
"California","I-5","https://www.iexitapp.com/exits/California/I-5/North/139"
"California","I-8","https://www.iexitapp.com/exits/California/I-8/East/142"
"California","I-105","https://www.iexitapp.com/exits/California/I-105/East/248"
"California","I-205","https://www.iexitapp.com/exits/California/I-205/North/250"
"California","I-405","https://www.iexitapp.com/exits/California/I-405/North/253"
"California","I-505","https://www.iexitapp.com/exits/California/I-505/North/256"
"California","I-605","https://www.iexitapp.com/exits/California/I-605/North/257"
"California","I-805","https://www.iexitapp.com/exits/California/I-805/North/259"
"California","I-110","https://www.iexitapp.com/exits/California/I-110/East/260"
"California","I-210","https://www.iexitapp.com/exits/California/I-210/East/264"
"California","I-710","https://www.iexitapp.com/exits/California/I-710/North/271"
"California","I-215","https://www.iexitapp.com/exits/California/I-215/North/274"
"California","I-238","https://www.iexitapp.com/exits/California/I-238/East/308"
"California","I-280","https://www.iexitapp.com/exits/California/I-280/North/394"
"California","I-380","https://www.iexitapp.com/exits/California/I-380/East/399"
"California","I-580","https://www.iexitapp.com/exits/California/I-580/East/405"
"California","I-680","https://www.iexitapp.com/exits/California/I-680/North/407"
"California","I-780","https://www.iexitapp.com/exits/California/I-780/East/411"
"California","I-880","https://www.iexitapp.com/exits/California/I-880/North/412"
"California","US 50","https://www.iexitapp.com/exits/California/US%2050/North/497"
"California","CA 99","https://www.iexitapp.com/exits/California/CA%2099/North/498"
"California","CA 60","https://www.iexitapp.com/exits/California/CA%2060/East/499"
"Colorado","I-70","https://www.iexitapp.com/exits/Colorado/I-70/East/66"
"Colorado","I-76","https://www.iexitapp.com/exits/Colorado/I-76/East/77"
"Colorado","I-25","https://www.iexitapp.com/exits/Colorado/I-25/North/153"
"Colorado","I-225","https://www.iexitapp.com/exits/Colorado/I-225/North/286"
"Colorado","I-270","https://www.iexitapp.com/exits/Colorado/I-270/East/345"
"Colorado","E 470","https://www.iexitapp.com/exits/Colorado/E%20470/North/500"
"Connecticut","I-95","https://www.iexitapp.com/exits/Connecticut/I-95/North/621"
"Connecticut","I-84","https://www.iexitapp.com/exits/Connecticut/I-84/East/220"
"Connecticut","I-91","https://www.iexitapp.com/exits/Connecticut/I-91/North/229"
"Connecticut","I-384","https://www.iexitapp.com/exits/Connecticut/I-384/East/418"
